Task,Testing Accuracy,Training Accuracy,Validation Accuracy
1,0.995,0.998888888889,1.0
2,0.883,0.997777777778,0.91
3,0.725,0.984444444444,0.75
4,0.76,0.87,0.71
5,0.844,0.994444444444,0.92
6,0.949,1.0,0.97
7,0.883,0.961111111111,0.88
8,0.877,0.986666666667,0.89
9,0.962,0.998888888889,0.97
10,0.924,1.0,0.92
11,0.906,0.99,0.89
12,0.972,0.996666666667,0.95
13,0.925,0.971111111111,0.92
14,0.947,1.0,0.93
15,0.525,0.714444444444,0.59
16,0.459,0.675555555556,0.45
17,0.529,0.648888888889,0.57
18,0.89,0.96,0.9
19,0.096,0.331111111111,0.09
20,0.994,0.998888888889,1.0
